movieID,role,kind,title,year,aspect_ratio,genres,runtimes,rating,votes,color_info,plot_outline,language_codes,country_codes,budget
0044106,actor,movie,The Tanks Are Coming,1951,1.37 : 1,"[u'Action', u'Drama', u'War']",[u'90'],6.4,188,[u'Black and White'],An American tank crew fights its way into Germany in World War II.,[u'en'],[u'us'],
0043525,actor,movie,Father Takes the Air,1951,,[u'Comedy'],[u'61'],5.1,7,[u'Black and White'],"This entry in Monogram's ""Latham Family Series"" finds Barbara Latham (), the daughter...",[u'en'],[u'us'],
0043565,actor,movie,The Frogmen,1951,1.37 : 1,"[u'Adventure', u'War', u'Drama']",[u'96'],6.7,867,[u'Black and White'],"The new commander of a Navy Underwater Demolition Team--nicknamed ""Frogmen""--must earn the respect of the men in his unit, who are still grieving over the death of their former commander and resentful of the new one.",[u'en'],[u'us'],
0043590,actor,movie,Go for Broke!,1951,1.37 : 1,"[u'Drama', u'History', u'War']",[u'92'],6.8,990,[u'Black and White'],The story of Japanese-American soldiers who fought in Europe during World War II.,"[u'en', u'ja', u'it', u'haw', u'de', u'fr']",[u'us'],"[u'$1,337,000 (estimated)']"
0120956,actor,tv series,Family Theatre,1949,1.33 : 1,[u'Drama'],[u'60'],7.1,31,"[u'Black and White', u'Color']",,[u'en'],[u'us'],
0043887,actor,movie,Operation Pacific,1951,1.37 : 1,"[u'Drama', u'War']","[u'111', u'West Germany:98']",6.7,2551,[u'Black and White'],"During WWII, a submarine's second in command inherits the problem of torpedoes that don't explode. When on shore, he is eager to win back his ex-wife.",[u'en'],[u'us'],
0043201,actor,tv series,Front Page Detective,1951,1.33 : 1,"[u'Crime', u'Drama', u'Mystery']",[u'30'],6.0,23,[u'Black and White'],A newspaper columnist who helps police solve especially difficult mysteries. The title derived from a popular mystery magazine of the same name.,[u'en'],[u'us'],
0043072,actor,movie,Tripoli,1950,1.37 : 1,"[u'Action', u'Adventure', u'History', u'Romance', u'War']",[u'95'],6.0,281,[u'(Technicolor)'],"In 1805, the United States battles the pirates of Tripoli as the Marines fight to raise the American flag",[u'en'],[u'us'],
0043045,actor,movie,Three Secrets,1950,1.37 : 1,[u'Drama'],[u'98'],7.1,326,[u'Black and White'],A five-year-old boy is the sole survivor of a devastating plane crash in the mountains of California...,[u'en'],[u'us'],
0042792,actor,movie,No Way Out,1950,1.37 : 1,"[u'Crime', u'Drama', u'Film-Noir', u'Thriller']",[u'106'],7.5,3213,[u'Black and White'],"A black doctor is assigned to treat two racist White, robbery suspects who are brothers, and when one dies, it causes tension that could start a race riot.","[u'en', u'ase']",[u'us'],
0042315,actor,movie,The Cariboo Trail,1950,1.37 : 1,[u'Western'],[u'81'],5.9,434,[u'(Cinecolor)'],Montanans Jim Redfern and Mike Evans head into Canada's British Columbia via the Cariboo Trail intent to raise cattle and dig for gold but find trouble instead.,[u'en'],[u'us'],
0042669,actor,movie,The Lawless,1950,1.37 : 1,"[u'Crime', u'Drama', u'Film-Noir', u'Thriller']",[u'83'],6.9,307,[u'Black and White'],"A newspaper editor in a small agricultural town finds himself going against the people in the town when he gets involved in the plight of the area's fruit pickers, who are mostly Mexican.","[u'en', u'es']",[u'us'],
0042531,actor,movie,The Gunfighter,1950,1.37 : 1,[u'Western'],[u'85'],7.7,7486,[u'Black and White'],"Notorious gunfighter Jimmy Ringo rides into town to find his true love, who doesn't want to see him. He hasn't come looking for trouble, but trouble finds him around every corner.",[u'en'],[u'us'],
0043129,actor,movie,When Willie Comes Marching Home,1950,1.37 : 1,"[u'Comedy', u'War']",[u'82'],6.6,507,[u'Black and White'],"Willie Kluggs enters the service with hopes of going overseas, but his uncanny marksmanship keeps him at home as a shooting instructor... much to his embarrassment.","[u'en', u'fr']",[u'us'],
0041227,actor,movie,Captain China,1950,1.37 : 1,"[u'Action', u'Adventure', u'Romance', u'Thriller']",[u'USA:97'],6.2,69,[u'Black and White'],"Charles Chinnough, aka Captain China, washed ashore off his ship during a storm, is later rescued, but is relieved of duty when his former first mate...",[u'en'],[u'us'],
0041996,actor,movie,Twelve O'Clock High,1949,1.37 : 1,"[u'Drama', u'War']",[u'132'],7.8,10703,"[u'Black and White::(archive footage)', u'Black and White']",A hard-as-nails general takes over a bomber unit suffering from low morale and whips them into fighting shape.,[u'en'],[u'us'],
0041824,actor,movie,Roseanna McCoy,1949,1.37 : 1,[u'Drama'],[u'89'],5.8,154,[u'Black and White'],The saga of the Hatfield-and-McCoy feud is romanticized in Samuel Goldwyn's Roseanna McCoy. Newcomer Joan Evans stars as the title character...,[u'en'],[u'us'],
0041650,actor,movie,Mighty Joe Young,1949,1.37 : 1,"[u'Adventure', u'Drama', u'Fantasy', u'Sci-Fi']","[u'94', u'USA:84']",7.0,3706,"[u'Black and White::(Sepiatone) (some sequences)', u'Black and White']",A young woman who has raised a giant gorilla from an infant brings him to Hollywood years later seeking her fortune in order to save her family's ranch.,"[u'en', u'sw']",[u'us'],"[u'$1,800,000 (estimated)']"
0041866,actor,movie,She Wore a Yellow Ribbon,1949,1.37 : 1,[u'Western'],"[u'103', u'West Germany:90']",7.4,12924,[u'(Technicolor)'],"Captain Nathan Brittles, on the eve of retirement, takes out a last patrol to stop an impending massive Indian attack. Encumbered by women who must be evacuated, Brittles finds his mission imperiled.",[u'en'],[u'us'],"[u'$1,600,000 (estimated)']"
0041631,actor,movie,Manhandled,1949,1.37 : 1,"[u'Crime', u'Drama', u'Film-Noir']",[u'97'],6.7,251,[u'Black and White'],The secretary to a phony psychiatrist finds herself caught up in the murder of a patient's wife and realizes that her life is also in danger.,[u'en'],[u'us'],
0041332,actor,movie,El Paso,1949,1.37 : 1,[u'Western'],[u'103'],5.7,181,[u'(Cinecolor)'],"In El Paso, lawyer and ex-Confederate captain Clay Fletcher forms a vigilante group to bring law and order to a town where the judge is a drunk, the sheriff is corrupt and the town is run by a crooked landowner.",[u'en'],[u'us'],"[u'$1,000,000 (estimated)']"
0041653,actor,movie,Miss Mink of 1949,1949,1.37 : 1,[u'Comedy'],[u'69'],,,[u'Black and White'],"After a woman wins a mink coat in a contest, her husband toils to appease her resulting ""champagne appetite"". A strong cast highlights this daffy B farce.",[u'en'],[u'us'],
0040366,actor,movie,Force of Evil,1948,1.37 : 1,"[u'Crime', u'Drama', u'Film-Noir']",[u'78'],7.4,4537,[u'Black and White'],"An unethical lawyer, with an older brother he wants to help, becomes a partner with a client in the numbers racket.",[u'en'],[u'us'],
0040154,actor,movie,Belle Starr's Daughter,1948,1.37 : 1,[u'Western'],"[u'86', u'West Germany:69::(VHS)']",5.7,82,[u'Black and White'],The daughter of famous outlaw Belle Starr arrives at the town where her mother was murdered to find her killer.,[u'en'],[u'us'],
0040724,actor,movie,Red River,1948,1.37 : 1,"[u'Action', u'Adventure', u'Romance', u'Western']","[u'133', u'West Germany:92', u'USA:126::(original theatrical version)']",7.8,23137,[u'Black and White'],"Dunson leads a cattle drive, the culmination of over 14 years of work, to its destination in Missouri. But his tyrannical behavior along the way causes a mutiny, led by his adopted son.","[u'en', u'es']",[u'us'],"[u'$3,000,000 (estimated)']"
0040869,actor,movie,That Lady in Ermine,1948,1.37 : 1,"[u'Comedy', u'Fantasy', u'Musical', u'Romance']",[u'89'],5.9,504,[u'(Technicolor)'],"Circa 1861, Angelina, ruling countess of an Italian principality, is at a loss when invaded by a Hungarian army...",[u'en'],[u'us'],"[u'$2,484,000 (estimated)']"
0041625,actor,movie,The Man from Colorado,1948,1.37 : 1,"[u'Romance', u'Western']",[u'100'],6.7,1118,[u'(Technicolor)'],"At the end of the Civil War, two friends return home but one of them suffers from PTSD and his behavior is violent and erratic.",[u'en'],[u'us'],"[u'$1,000,000 (estimated)']"
0040369,actor,movie,Fort Apache,1948,1.37 : 1,[u'Western'],"[u'128', u'West Germany:84::(cut version)']",7.6,13576,[u'Black and White'],"At Fort Apache, an honorable and veteran war captain finds conflict when his regime is placed under the command of a young, glory hungry lieutenant colonel with no respect for the local Indian tribe.","[u'en', u'es']",[u'us'],"[u'$2,500,000 (estimated)']"
0040082,actor,movie,Albuquerque,1948,1.37 : 1,[u'Western'],[u'90'],6.7,440,[u'(Cinecolor)'],"Cole Armin, recruited by his corrupt uncle as heir apparent to his freight-hauling empire, defects to his honest rival.",[u'en'],[u'us'],
0036868,actor,movie,The Best Years of Our Lives,1946,1.37 : 1,"[u'Drama', u'Romance', u'War']",[u'170'],8.1,44615,[u'Black and White'],Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,[u'en'],[u'us'],"[u'$2,100,000 (estimated)']"
