role,kind,title,year,runtime,genres,plot outline,rating,total votes,votes/rating,demographic,certificates,metascore,mpaa,color info,trivia,rentals
actress,video game,Lego Star Wars: The Force Awakens,2016,,"[u'Adventure', u'Sci-Fi']",The re-telling of the newest installment in the iconic Star Wars saga told through the witty humor of Lego.,8.4,384,"{1: 35, 2: 1, 3: 1, 4: 3, 5: 3, 6: 11, 7: 27, 8: 70, 9: 101, 10: 132}","{u'aged 45+': (22, 7.0), u'aged 30-44': (70, 7.7), u'females': (27, 7.1), u'females aged 30-44': (7, 6.3), 'all votes': (384, 8.4), u'females aged 45+': (4, 6.5), u'males': (199, 8.3), u'aged 18-29': (102, 8.4), u'males under 18': (12, 8.9), u'males aged 18-29': (87, 8.5), u'males aged 30-44': (62, 7.8), u'non-us users': (92, 7.8), u'females aged 18-29': (15, 7.9), u'us users': (70, 8.1), u'aged under 18': (13, 9.0), u'top 1000 voters': (26, 6.2), u'males aged 45+': (18, 7.7)}","[u'Australia:PG', u'Germany:12', u'Japan:B::(CERO)', u'New Zealand:M', u'Singapore:G', u'UK:7::(PEGI)', u'USA:E10+']",,,[u'Color'],,
actress,movie,Star Wars: Episode VII - The Force Awakens,2015,[u'136'],"[u'Action', u'Adventure', u'Fantasy', u'Sci-Fi']","Three decades after the Empire's defeat, a new threat arises in the militant First Order. Stormtrooper defector Finn and spare parts scavenger Rey are caught up in the Resistance's search for the missing Luke Skywalker.",8.1,690062,"{1: 16199, 2: 4608, 3: 6116, 4: 9030, 5: 18616, 6: 42074, 7: 102678, 8: 170620, 9: 163788, 10: 156333}","{u'aged 45+': (44311, 7.9), u'imdb staff': (71, 8.3), u'aged 30-44': (191813, 7.9), u'females': (69891, 8.2), u'females aged 30-44': (21957, 8.2), 'all votes': (690062, 8.1), u'females aged 45+': (5884, 8.2), u'males': (433298, 8.0), u'males aged 18-29': (184856, 8.1), u'males under 18': (3718, 8.4), u'aged 18-29': (221967, 8.2), u'males aged 30-44': (166927, 7.9), u'non-us users': (255146, 7.9), u'females aged 18-29': (34705, 8.3), u'us users': (86714, 8.2), u'females under 18': (712, 8.5), u'aged under 18': (4462, 8.4), u'top 1000 voters': (727, 7.7), u'males aged 45+': (37632, 7.8)}","[u'Argentina:13', u'Australia:M::(certificate #268462)', u'Austria:12', u'Brazil:12', u'Canada:PG', u'Canada:G::(Qu\xe9bec)', u'Chile:TE+7', u'Denmark:11', u'Finland:K-12', u'France:Tous publics', u'Germany:12', u'Hong Kong:IIA', u'Hungary:12', u'India:U', u'Indonesia:SU', u'Indonesia:13+::(DVD rating)', u'Ireland:12A', u'Ireland:12::(DVD rating)', u'Italy:T', u'Japan:G', u'Malaysia:P13', u'Mexico:B', u'Netherlands:12', u'New Zealand:M', u'Norway:12', u'Philippines:PG-13', u'Poland:12', u'Portugal:M/12', u'Russia:12+', u'Singapore:PG', u'South Korea:12', u'Spain:7', u'Sweden:11', u'Switzerland:12', u'Taiwan:GP', u'Thailand:G', u'UK:12A', u'UK:12::(DVD rating)', u'USA:PG-13::(certificate #50155)']",81,Rated PG-13 for sci-fi action violence,[u'Color'],,
actress,tv series,Saturday Night Live,1975,[u'90'],"[u'Comedy', u'Music']",A famous guest host stars in parodies and sketches created by the cast of this witty show.,8.1,35769,"{1: 1290, 2: 288, 3: 366, 4: 465, 5: 979, 6: 1799, 7: 4416, 8: 8729, 9: 6992, 10: 10445}","{u'aged 45+': (3688, 7.7), u'imdb staff': (6, 6.1), u'aged 30-44': (12102, 8.0), u'females': (8195, 8.3), u'females aged 30-44': (2727, 8.1), 'all votes': (35769, 8.1), u'females aged 45+': (889, 7.9), u'males': (21716, 8.1), u'males aged 18-29': (8747, 8.3), u'males under 18': (88, 8.5), u'aged 18-29': (13034, 8.4), u'males aged 30-44': (9249, 7.9), u'non-us users': (10677, 8.1), u'females aged 18-29': (4178, 8.6), u'us users': (14204, 8.1), u'females under 18': (33, 9.3), u'aged under 18': (124, 8.7), u'top 1000 voters': (329, 7.0), u'males aged 45+': (2746, 7.6)}","[u'Australia:PG::(some episodes)', u'Australia:M::(some episodes)', u'Canada:18A::(Manitoba) (The Best of Jimmy Fallon) (DVD rating)', u'Canada:PG::(Manitoba/Nova Scotia/Ontario) (some episodes) (DVD rating)', u'Canada:14A::(Manitoba/Nova Scotia/Ontario) (some episodes) (DVD rating)', u'Canada:G::(Quebec)', u'Netherlands:AL', u'New Zealand:PG::(some episodes)', u'New Zealand:M::(some episodes)', u'Singapore:NC-16::(TV rating) (some episodes)', u'UK:12::(some episodes)', u'UK:15::(some episodes)', u'UK:PG::(some episodes)', u'USA:TV-PG::(edited)', u'USA:TV-14::(original rating)']",,,[u'Color'],,
actress,movie,Scrawl,2015,[u'82'],"[u'Fantasy', u'Horror']","A boy writes a comic book with his best friend, and finds situations depicted in the comic book coming to life...",6.9,98,"{1: 16, 2: 6, 3: 2, 4: 2, 5: 6, 6: 2, 7: 9, 8: 10, 9: 5, 10: 40}","{u'aged 45+': (11, 6.8), u'aged 30-44': (29, 4.1), u'females': (7, 8.5), u'females aged 30-44': (2, 9.0), 'all votes': (98, 6.9), u'females aged 45+': (1, 10.0), u'males': (75, 5.7), u'aged 18-29': (38, 7.2), u'males under 18': (2, 9.5), u'males aged 18-29': (34, 7.2), u'males aged 30-44': (27, 4.0), u'non-us users': (39, 5.8), u'females aged 18-29': (4, 6.5), u'us users': (21, 5.3), u'aged under 18': (2, 9.5), u'top 1000 voters': (13, 5.8), u'males aged 45+': (10, 6.3)}",,,,[u'Color'],,
actress,video game,Disney Infinity 3.0,2015,,[u'Action'],"The third instalment in Disney's toys to life game franchise. Collecting characters from Disney, Marvel, and Star Wars.",7.5,217,"{1: 29, 2: 1, 3: 2, 4: 0, 5: 3, 6: 7, 7: 34, 8: 41, 9: 22, 10: 78}","{u'aged 45+': (12, 4.1), u'aged 30-44': (49, 7.2), u'females': (18, 6.0), u'females aged 30-44': (8, 4.7), 'all votes': (217, 7.5), u'females aged 45+': (2, 9.0), u'males': (127, 7.3), u'aged 18-29': (60, 7.4), u'males under 18': (7, 7.9), u'males aged 18-29': (52, 7.5), u'males aged 30-44': (40, 7.7), u'non-us users': (53, 6.4), u'females aged 18-29': (8, 6.8), u'us users': (49, 7.1), u'aged under 18': (7, 7.9), u'top 1000 voters': (20, 5.9), u'males aged 45+': (10, 3.4)}",[u'Singapore:G'],,,[u'Color'],,
actress,tv series,Mr Selfridge,2013,[u'45::(approx.)'],[u'Drama'],"Centers on the real-life story of the flamboyant and visionary American founder of Selfridge's, London's department store.",7.7,11797,"{1: 222, 2: 80, 3: 102, 4: 168, 5: 334, 6: 755, 7: 2029, 8: 3551, 9: 2183, 10: 2373}","{u'aged 45+': (2514, 7.7), u'imdb staff': (2, 5.5), u'aged 30-44': (3732, 7.6), u'females': (5024, 7.8), u'females aged 30-44': (1960, 7.8), 'all votes': (11797, 7.7), u'females aged 45+': (1230, 7.9), u'males': (4297, 7.5), u'males aged 18-29': (1015, 7.7), u'males under 18': (6, 8.8), u'aged 18-29': (2483, 7.7), u'males aged 30-44': (1719, 7.3), u'non-us users': (4605, 7.6), u'females aged 18-29': (1435, 7.8), u'us users': (2039, 7.6), u'females under 18': (10, 8.0), u'aged under 18': (16, 8.4), u'top 1000 voters': (102, 6.3), u'males aged 45+': (1235, 7.4)}","[u'Finland:K-12', u'Netherlands:6', u'Singapore:M18::(season 1)', u'USA:TV-14']",,,[u'Color'],,
actress,tv series,Silent Witness,1996,"[u'60::(season 1,2,6 - 11)', u'120::(Season 3,4,and 5)']","[u'Crime', u'Drama', u'Mystery']",Crimes through the eyes of a team of forensic pathologists and forensic scientists.,7.8,3569,"{1: 79, 2: 25, 3: 30, 4: 39, 5: 86, 6: 192, 7: 599, 8: 1127, 9: 698, 10: 694}","{u'aged 45+': (1014, 7.7), u'imdb staff': (2, 6.5), u'aged 30-44': (1045, 7.6), u'females': (1344, 8.0), u'females aged 30-44': (551, 7.9), 'all votes': (3569, 7.8), u'females aged 45+': (401, 8.0), u'males': (1540, 7.6), u'males aged 18-29': (346, 7.6), u'males under 18': (7, 8.8), u'aged 18-29': (674, 7.9), u'males aged 30-44': (481, 7.4), u'non-us users': (2022, 7.8), u'females aged 18-29': (323, 8.2), u'us users': (276, 7.2), u'females under 18': (2, 8.5), u'aged under 18': (9, 8.8), u'top 1000 voters': (75, 6.2), u'males aged 45+': (602, 7.6)}","[u'Argentina:13', u'Australia:M::(some episodes)', u'Australia:MA15+::(some episodes)', u'Netherlands:12', u'UK:15']",,,[u'Color'],,
actress,tv series,Toast of London,2012,[u'30'],[u'Comedy'],"Steven Toast, an eccentric middle aged actor with a chequered past, spends more time dealing with his problems off stage than performing on it",8.2,2502,"{1: 24, 2: 16, 3: 15, 4: 20, 5: 47, 6: 85, 7: 279, 8: 744, 9: 662, 10: 610}","{u'aged 45+': (340, 8.3), u'aged 30-44': (1067, 8.2), u'females': (273, 7.9), u'females aged 30-44': (119, 7.9), 'all votes': (2502, 8.2), u'females aged 45+': (52, 7.6), u'males': (1719, 8.2), u'aged 18-29': (448, 8.0), u'males under 18': (5, 8.4), u'males aged 18-29': (360, 8.1), u'males aged 30-44': (933, 8.2), u'non-us users': (1318, 8.1), u'females aged 18-29': (84, 7.8), u'us users': (228, 8.2), u'aged under 18': (5, 8.4), u'top 1000 voters': (30, 6.7), u'males aged 45+': (285, 8.3)}",[u'Singapore:M18'],,,[u'Color'],,
actress,video movie,Wiley: Lights On,2013,[u'4'],"[u'Short', u'Music']","The music video for ""Lights On"" by Wiley featuring Angel and Tinchy Stryder.",5.2,8,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 0, 7: 1, 8: 0, 9: 0, 10: 2}","{u'aged 45+': (1, 2.0), u'aged 30-44': (1, 5.0), u'females': (1, 4.0), 'all votes': (8, 5.2), u'males': (5, 4.4), u'aged 18-29': (4, 4.5), u'males under 18': (1, 7.0), u'males aged 18-29': (3, 4.7), u'males aged 30-44': (1, 5.0), u'non-us users': (4, 5.5), u'females aged 18-29': (1, 4.0), u'us users': (2, 4.5), u'aged under 18': (1, 7.0), u'top 1000 voters': (1, 5.0)}",,,,[u'Color'],,
actress,tv series,Youngers,2013,,"[u'Comedy', u'Drama']","Two best friends, one who has nothing going for him and the other with top grades and a bright future want to take their grime to the next level...",6.7,490,"{1: 46, 2: 8, 3: 5, 4: 13, 5: 28, 6: 37, 7: 90, 8: 99, 9: 28, 10: 136}","{u'aged 45+': (30, 4.5), u'aged 30-44': (107, 6.4), u'females': (74, 7.2), u'females aged 30-44': (15, 7.6), 'all votes': (490, 6.7), u'females aged 45+': (5, 7.5), u'males': (291, 6.5), u'males aged 18-29': (146, 7.1), u'males under 18': (2, 9.0), u'aged 18-29': (190, 7.0), u'males aged 30-44': (89, 6.1), u'non-us users': (205, 6.5), u'females aged 18-29': (42, 6.4), u'us users': (29, 5.6), u'females under 18': (1, 6.0), u'aged under 18': (3, 8.0), u'top 1000 voters': (14, 3.8), u'males aged 45+': (24, 3.8)}",,,,[u'Color'],,
actress,movie,Blue Season,2013,[u'UK:5'],"[u'Short', u'Sci-Fi']",Sarah wakes up to find herself hanging upside down. As she screams for help a phone rings and the person on the other hand helps her escape. Is all as it seems to be?,5.5,215,"{1: 7, 2: 8, 3: 17, 4: 20, 5: 40, 6: 51, 7: 32, 8: 16, 9: 7, 10: 17}","{u'aged 45+': (18, 5.0), u'aged 30-44': (47, 5.2), u'females': (16, 5.8), u'females aged 30-44': (4, 6.8), 'all votes': (215, 5.5), u'females aged 45+': (2, 5.5), u'males': (152, 5.3), u'aged 18-29': (96, 5.5), u'males under 18': (6, 6.6), u'males aged 18-29': (84, 5.5), u'males aged 30-44': (41, 5.1), u'non-us users': (102, 5.5), u'females aged 18-29': (10, 5.5), u'us users': (45, 5.5), u'aged under 18': (6, 6.6), u'top 1000 voters': (9, 5.4), u'males aged 45+': (15, 5.1)}",[u'USA:TV-G'],,,[u'Color'],,
actress,tv series,Casualty,1986,[u'50'],[u'Drama'],The everyday lives of the people frequenting the frenetic Accident and Emergency department of Holby City hospital.,6.0,1905,"{1: 142, 2: 65, 3: 74, 4: 93, 5: 182, 6: 246, 7: 235, 8: 231, 9: 155, 10: 482}","{u'aged 45+': (328, 6.4), u'imdb staff': (1, 6.0), u'aged 30-44': (534, 5.6), u'females': (597, 6.8), u'females aged 30-44': (173, 6.4), 'all votes': (1905, 6.0), u'females aged 45+': (97, 7.0), u'males': (916, 5.6), u'males aged 18-29': (261, 5.6), u'males under 18': (7, 7.8), u'aged 18-29': (552, 6.2), u'males aged 30-44': (356, 5.3), u'non-us users': (1094, 6.0), u'females aged 18-29': (287, 7.0), u'us users': (126, 6.1), u'females under 18': (3, 9.3), u'aged under 18': (10, 8.1), u'top 1000 voters': (72, 5.3), u'males aged 45+': (226, 6.1)}","[u'Australia:PG', u'Australia:M', u'UK:12']",,,[u'Color'],,
actress,movie,Lifesaver,2013,[u'29'],"[u'Short', u'Drama']",Lifesaver is an app and website which fuses interactivity and live-action film to throw you into three situations where someone will die unless you do the right thing.,7.6,52,"{1: 5, 2: 1, 3: 0, 4: 1, 5: 4, 6: 6, 7: 3, 8: 4, 9: 6, 10: 22}","{u'aged 45+': (5, 6.3), u'aged 30-44': (9, 6.8), u'females': (2, 9.0), 'all votes': (52, 7.6), u'males': (32, 6.3), u'aged 18-29': (19, 6.8), u'males under 18': (2, 7.5), u'males aged 18-29': (17, 6.6), u'males aged 30-44': (8, 6.7), u'non-us users': (18, 7.4), u'females aged 18-29': (2, 9.0), u'us users': (6, 6.3), u'aged under 18': (2, 7.5), u'top 1000 voters': (4, 6.8), u'males aged 45+': (4, 6.8)}",,,,[u'Color'],,
actress,movie,Omohide poro poro,1991,[u'118'],"[u'Animation', u'Drama', u'Romance']",A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.,7.7,16226,"{1: 188, 2: 99, 3: 142, 4: 221, 5: 516, 6: 1518, 7: 3553, 8: 4793, 9: 2730, 10: 2466}","{u'aged 45+': (1184, 7.7), u'imdb staff': (3, 6.3), u'aged 30-44': (5889, 7.7), u'females': (3473, 7.6), u'females aged 30-44': (1150, 7.7), 'all votes': (16226, 7.7), u'females aged 45+': (231, 7.8), u'males': (9755, 7.7), u'males aged 18-29': (3832, 7.8), u'males under 18': (28, 8.0), u'aged 18-29': (5826, 7.7), u'males aged 30-44': (4666, 7.7), u'non-us users': (8964, 7.7), u'females aged 18-29': (1940, 7.6), u'us users': (2257, 7.8), u'females under 18': (21, 7.5), u'aged under 18': (49, 7.9), u'top 1000 voters': (208, 6.9), u'males aged 45+': (940, 7.6)}","[u'Argentina:Atp', u'Australia:PG', u'Canada:PG::(Alberta/Manitoba)', u'Canada:G::(Ontario)', u'Germany:12', u'Norway:A', u'South Korea:All', u'UK:PG', u'USA:PG::(certificate #49958)']",90,"Rated PG for thematic elements, some rude behavior and smoking",[u'Color'],,
